name_with_owner,stars,created_at,updated_at,pull_requests,total_releases,primary_language,open_issues,closed_issues,percentual
GoogleContainerTools/distroless,17385,2017-04-18,2024-03-06,837,0,Starlark,73,475,86.67883211678831
facebookarchive/flux,17383,2014-07-20,2024-03-06,222,4,JavaScript,6,235,97.5103734439834
sveltejs/kit,17376,2020-10-15,2024-03-06,4580,1158,JavaScript,692,4421,86.4658713084295
wulkano/Kap,17361,2016-08-10,2024-03-06,352,43,TypeScript,196,587,74.96807151979566
haoel/leetcode,17356,2014-10-20,2024-03-06,97,0,C++,23,37,61.66666666666667
youzan/vant-weapp,17338,2017-01-23,2024-03-06,1658,52,JavaScript,15,3752,99.60180514998672
programthink/books,17331,2015-06-01,2024-03-06,0,0,,97,32,24.8062015503876
nondanee/UnblockNeteaseMusic,17307,2018-06-19,2024-03-06,15,57,JavaScript,209,579,73.47715736040608
css-modules/css-modules,17298,2015-05-25,2024-03-06,27,0,,114,237,67.52136752136752
allinurl/goaccess,17297,2013-07-14,2024-03-06,310,0,C,383,1831,82.70099367660343
auth0/node-jsonwebtoken,17293,2013-07-01,2024-03-06,150,0,JavaScript,118,513,81.29952456418383
python/mypy,17281,2012-12-07,2024-03-06,5881,0,Python,2508,7527,75.00747384155456
JedWatson/classnames,17276,2014-11-05,2024-03-06,143,0,JavaScript,3,166,98.22485207100591
krisk/Fuse,17260,2012-05-28,2024-03-06,109,28,JavaScript,25,510,95.32710280373831
Wilfred/difftastic,17235,2018-12-18,2024-03-06,76,39,Rust,160,360,69.23076923076923
LunarVim/LunarVim,17217,2018-08-16,2024-03-06,1331,26,Lua,44,2314,98.13401187446989
lit/lit,17216,2017-06-29,2024-03-06,1723,481,TypeScript,370,1435,79.50138504155125
modularml/mojo,17214,2023-04-28,2024-03-06,96,0,Jupyter Notebook,502,846,62.759643916913944
fengdu78/deeplearning_ai_books,17195,2017-12-08,2024-03-06,7,0,HTML,51,13,20.3125
kaixindelele/ChatPaper,17193,2023-03-08,2024-03-06,28,0,Python,64,147,69.66824644549763
nfl/react-helmet,17192,2015-06-18,2024-03-06,166,3,JavaScript,161,225,58.2901554404145
spotify/luigi,17174,2012-09-20,2024-03-06,1827,58,Python,97,881,90.08179959100204
chromium/chromium,17174,2018-02-05,2024-03-06,0,0,,0,0,0.0
microsoft/semantic-kernel,17154,2023-02-27,2024-03-06,2420,74,C#,509,1502,74.68920934858279
oblador/react-native-vector-icons,17148,2015-05-15,2024-03-06,205,68,JavaScript,154,1056,87.27272727272727
xbmc/xbmc,17108,2011-01-03,2024-03-06,17330,164,C++,623,3306,84.14354797658437
miloyip/game-programmer,17099,2016-12-06,2024-03-06,13,0,Python,25,17,40.476190476190474
jtoy/awesome-tensorflow,17091,2016-02-27,2024-03-06,117,0,,1,10,90.9090909090909
emotion-js/emotion,17080,2017-05-27,2024-03-06,1051,518,JavaScript,239,1400,85.41793776693105
material-components/material-components-web,17047,2016-12-05,2024-03-06,3791,11,TypeScript,398,2524,86.3791923340178
joewalnes/websocketd,17040,2013-02-14,2024-03-06,88,7,Go,45,278,86.06811145510835
NVIDIA/nvidia-docker,17036,2015-11-04,2024-03-06,13,32,,0,1553,100.0
facebook/fresco,17028,2015-03-02,2024-03-05,83,50,Java,214,2073,90.64276344556187
Tencent/tinker,17011,2016-09-06,2024-03-06,72,56,Java,503,1082,68.26498422712933
nndl/nndl.github.io,16992,2016-09-06,2024-03-06,10,0,HTML,78,545,87.47993579454254
ish-app/ish,15646,2017-05-05,2024-03-06,209,496,C,548,1238,69.31690929451287
transitive-bullshit/chatgpt-api,15576,2022-12-03,2024-03-06,170,110,TypeScript,59,336,85.0632911392405
trekhleb/learn-python,15560,2018-08-29,2024-03-06,17,0,Python,9,29,76.31578947368422
openai/gpt-3,15545,2020-05-18,2024-03-06,2,0,,3,0,0.0
helm/charts,15528,2015-11-24,2024-03-06,13371,0,Go,0,6322,100.0
vasanthk/how-web-works,15517,2015-10-17,2024-03-06,9,0,,5,14,73.68421052631578
prestodb/presto,15472,2012-08-09,2024-03-06,10553,0,Java,1435,4712,76.65527899788515
aristocratos/btop,15444,2021-05-06,2024-03-06,160,47,C++,222,269,54.78615071283096
SimulatedGREG/electron-vue,15443,2016-05-12,2024-03-06,107,0,JavaScript,269,670,71.35250266240682
dream-num/Luckysheet,15442,2020-05-15,2024-03-06,259,0,JavaScript,668,336,33.46613545816733
android10/Android-CleanArchitecture,15438,2014-08-19,2024-03-06,14,0,Java,127,124,49.40239043824701
eriklindernoren/PyTorch-GAN,15425,2018-04-21,2024-03-06,7,0,Python,106,47,30.718954248366014
yuliskov/SmartTube,15425,2020-07-28,2024-03-06,1032,336,Java,1738,402,18.785046728971963
h2y/Shadowrocket-ADBlock-Rules,15375,2016-08-13,2024-03-06,8,0,Python,69,194,73.76425855513308
yaronn/blessed-contrib,15354,2015-01-14,2024-03-05,69,0,JavaScript,80,66,45.20547945205479
koel/koel,15342,2015-12-06,2024-03-05,482,94,PHP,40,924,95.850622406639
thingsboard/thingsboard,15332,2016-12-01,2024-03-06,3487,58,Java,1465,4354,74.82385289568654
tokio-rs/axum,15324,2021-05-30,2024-03-06,1165,132,Rust,42,640,93.841642228739
bradtraversy/vanillawebprojects,15303,2020-01-28,2024-03-06,24,0,JavaScript,0,0,0.0
learn-anything/learn-anything.xyz,15292,2016-08-08,2024-03-06,18,0,TypeScript,54,2,3.571428571428571
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,15262,2021-01-02,2024-03-06,1,0,,19,21,52.5
openai/baselines,15220,2017-05-24,2024-03-06,175,0,Python,411,436,51.47579693034239
opa334/TrollStore,15219,2022-09-02,2024-03-06,50,44,Objective-C,34,475,93.32023575638507
THUDM/ChatGLM2-6B,15217,2023-06-24,2024-03-06,12,0,Python,415,187,31.06312292358804
pytorch/vision,15184,2016-11-09,2024-03-06,3955,39,Python,771,2337,75.1930501930502
iCHAIT/awesome-macOS,15181,2015-05-25,2024-03-06,335,1,,0,70,100.0
emirpasic/gods,15178,2015-03-04,2024-03-06,81,24,Go,23,87,79.0909090909091
kubernetes-sigs/kubespray,15150,2015-10-03,2024-03-06,5483,67,Jinja,153,3731,96.06076210092688
ml-tooling/best-of-ml-python,15144,2020-11-29,2024-03-06,189,137,,19,34,64.15094339622641
adonisjs/core,15109,2015-08-15,2024-03-06,169,181,TypeScript,2,1392,99.85652797704448
HandBrake/HandBrake,15103,2015-08-22,2024-03-06,802,42,C,264,4133,93.99590629974983
heibaiying/BigData-Notes,15072,2019-03-10,2024-03-06,7,0,Java,20,23,53.48837209302325
waydabber/BetterDisplay,15070,2021-10-24,2024-03-06,2,71,,118,1500,92.7070457354759
grab/front-end-guide,15061,2017-04-24,2024-03-06,14,0,JavaScript,1,9,90.0
unocss/unocss,15060,2021-09-30,2024-03-06,1267,361,TypeScript,97,1472,93.81771829190568
NVlabs/instant-ngp,15059,2022-01-05,2024-03-06,96,1,Cuda,444,534,54.601226993865026
designmodo/Flat-UI,15052,2013-03-03,2024-03-06,38,1,JavaScript,10,180,94.73684210526315
Loyalsoldier/clash-rules,15050,2020-07-30,2024-03-06,8,1370,,0,232,100.0
LSPosed/LSPosed,15014,2020-12-12,2024-03-06,1613,39,Java,2,701,99.71550497866288
FiloSottile/age,15010,2019-05-18,2024-03-06,75,14,Go,26,153,85.47486033519553
dubinc/dub,15006,2022-08-27,2024-03-06,211,0,TypeScript,67,248,78.73015873015873
madrobby/zepto,15000,2010-09-20,2024-03-02,218,18,HTML,69,683,90.82446808510637
bower/bower,14998,2012-09-07,2024-03-06,348,38,JavaScript,8,1916,99.58419958419958
lionsoul2014/ip2region,14990,2015-11-02,2024-03-06,75,0,Go,27,198,88.0
snail007/goproxy,14984,2017-09-11,2024-03-06,64,7,Go,125,327,72.34513274336283
android-hacker/VirtualXposed,14962,2017-12-01,2024-03-06,40,50,Java,134,942,87.54646840148699
airbnb/react-sketchapp,14960,2017-04-21,2024-03-04,190,28,TypeScript,29,270,90.3010033444816
Tencent/weui-wxss,14953,2016-11-04,2024-03-06,32,31,Less,46,116,71.60493827160494
Foundry376/Mailspring,14951,2016-10-13,2024-03-05,239,62,C,2,2186,99.90859232175502
cmusatyalab/openface,14950,2015-09-16,2024-03-06,38,4,Lua,10,370,97.36842105263158
YunaiV/yudao-cloud,14939,2019-05-02,2024-03-06,13,10,Java,0,74,100.0
hoanhan101/ultimate-go,14932,2018-04-28,2024-03-06,35,0,Go,0,14,100.0
ory/hydra,14924,2015-05-22,2024-03-06,1448,202,Go,82,1402,94.4743935309973
checkly/headless-recorder,14919,2018-08-13,2024-03-05,73,20,JavaScript,1,107,99.07407407407408
wistbean/learn_python3_spider,14917,2019-04-02,2024-03-06,7,0,Python,29,27,48.214285714285715
apple/swift-evolution,14907,2015-11-03,2024-03-06,1906,0,Markdown,0,0,0.0
ochococo/Design-Patterns-In-Swift,14900,2014-07-13,2024-03-06,47,0,Swift,4,35,89.74358974358975
selfteaching/the-craft-of-selfteaching,14898,2019-03-14,2024-03-06,352,0,Jupyter Notebook,112,58,34.11764705882353
gpujs/gpu.js,14893,2016-02-09,2024-03-06,171,99,JavaScript,196,408,67.54966887417218
Carthage/Carthage,14892,2014-10-10,2024-03-05,961,78,Swift,180,1928,91.46110056925995
DIYgod/DPlayer,14892,2016-05-03,2024-03-06,374,42,JavaScript,0,0,0.0
Experience-Monks/math-as-code,14878,2015-06-29,2024-03-05,23,0,,28,19,40.42553191489361
feathersjs/feathers,14878,2011-10-19,2024-03-06,914,92,TypeScript,107,1946,94.78811495372625
frappe/charts,14871,2017-10-26,2024-03-06,81,18,JavaScript,122,153,55.63636363636364
tusen-ai/naive-ui,14864,2021-06-04,2024-03-06,2107,0,TypeScript,613,2048,76.96354753851935
ginuerzh/gost,14862,2015-03-20,2024-03-06,53,41,Go,260,656,71.61572052401746
Schniz/fnm,14861,2019-01-16,2024-03-06,525,63,Rust,148,316,68.10344827586206
compiler-explorer/compiler-explorer,14855,2012-05-23,2024-03-06,2901,0,TypeScript,693,2342,77.166392092257
pallets/click,14849,2014-04-24,2024-03-06,735,18,Python,89,1440,94.17920209287117
dutchcoders/transfer.sh,14837,2014-10-09,2024-03-06,172,19,Go,33,339,91.12903225806451
logspace-ai/langflow,14836,2023-02-08,2024-03-06,681,155,Python,150,440,74.57627118644068
tiangolo/full-stack-fastapi-postgresql,14830,2019-02-23,2024-03-06,108,6,TypeScript,170,219,56.29820051413882
koreader/koreader,14821,2013-03-24,2024-03-06,5240,237,Lua,645,4942,88.45534275997852
RunaCapital/awesome-oss-alternatives,14817,2021-11-15,2024-03-06,119,0,Python,5,26,83.87096774193549
bharathgs/Awesome-pytorch-list,14815,2017-03-01,2024-03-06,94,0,,0,16,100.0
hashicorp/packer,14813,2013-03-23,2024-03-06,5076,47,Go,402,6372,94.06554472984942
redox-os/redox,14793,2015-04-20,2024-03-06,580,23,Shell,0,0,0.0
acdlite/recompose,14786,2015-10-07,2024-03-05,246,42,JavaScript,64,375,85.42141230068337
umijs/umi,14776,2017-11-22,2024-03-05,3245,482,TypeScript,126,6388,98.06570463616825
flarum/flarum,14757,2014-12-30,2024-03-06,47,24,PHP,0,0,0.0
moment/luxon,14736,2015-11-30,2024-03-06,356,0,JavaScript,144,915,86.40226628895185
ethereum/wiki,14735,2014-02-14,2024-03-05,48,0,,34,310,90.11627906976744
rizinorg/cutter,14734,2017-09-25,2024-03-06,1519,55,C++,477,1104,69.8292220113852
janpaepke/ScrollMagic,14720,2013-09-23,2024-03-06,41,15,JavaScript,500,422,45.770065075921906
ent/ent,14698,2019-06-12,2024-03-06,1706,32,Go,331,1205,78.45052083333334
mxrch/GHunt,14681,2020-10-02,2024-03-06,41,2,Python,36,341,90.45092838196287
stephentian/33-js-concepts,14680,2018-10-16,2024-03-05,12,0,JavaScript,7,11,61.111111111111114
dataease/dataease,14671,2021-02-02,2024-03-06,4754,62,Java,267,3228,92.36051502145924
arialdomartini/Back-End-Developer-Interview-Questions,14669,2014-06-06,2024-03-06,36,0,,12,14,53.84615384615385
foambubble/foam,14664,2020-06-19,2024-03-06,509,91,TypeScript,93,582,86.22222222222223
ujjwalkarn/Machine-Learning-Tutorials,14662,2015-09-12,2024-03-06,42,0,,9,3,25.0
react-native-maps/react-native-maps,14658,2015-12-29,2024-03-06,884,128,Objective-C,66,3530,98.1646273637375
tensorflow/tensor2tensor,14647,2017-06-15,2024-03-06,506,75,Python,575,672,53.889334402566156
tc39/ecma262,14647,2014-04-09,2024-03-06,1354,24,HTML,316,898,73.97034596375617
jsdoc/jsdoc,14631,2010-03-13,2024-03-06,237,11,JavaScript,394,1208,75.40574282147315
aidenybai/million,14625,2021-05-29,2024-03-06,419,214,TypeScript,18,385,95.53349875930522
ramitsurana/awesome-kubernetes,14604,2015-10-15,2024-03-06,584,5,Shell,3,200,98.52216748768473
erusev/parsedown,14600,2013-07-10,2024-03-06,126,26,PHP,106,466,81.46853146853147
upptime/upptime,14598,2020-08-08,2024-03-06,27,39,Markdown,78,208,72.72727272727273
joonspk-research/generative_agents,14595,2023-07-23,2024-03-06,4,0,,80,28,25.925925925925924
